"Variable";"Value";"n_overall";"n_travelers";"freq_overall";"freq_travelers"
"Gender";"maennlich";21021;16267;"46.4%";"46.4%"
"Gender";"weiblich";24329;18795;"53.6%";"53.6%"
"Household_net_income_cat";"[0,1000)";4870;2714;"10.7%";"7.7%"
"Household_net_income_cat";"[1000,2000)";17565;12600;"38.7%";"35.9%"
"Household_net_income_cat";"[2000,3000)";14380;11992;"31.7%";"34.2%"
"Household_net_income_cat";"[3000,4000)";6108;5502;"13.5%";"15.7%"
"Household_net_income_cat";"[4000,5000)";1326;1243;"2.9%";"3.5%"
"Household_net_income_cat";"[5000,6000)";610;557;"1.3%";"1.6%"
"Household_net_income_cat";">= 6000";491;454;"1.1%";"1.3%"
"Education_level";"Hauptschule mit/ohne abgeschl. Berufsausbildung";13640;9036;"30.1%";"25.8%"
"Education_level";"Mittlere Reife/weiterführende Schule ohne Abitur";21402;16871;"47.2%";"48.1%"
"Education_level";"Abitur/(Fach-)Hochschulreife";4213;3661;"9.3%";"10.4%"
"Education_level";"Universitaet/techn. Hochschule/Polytechnikum";6095;5494;"13.4%";"15.7%"
"Household_size";"1";11666;8301;"25.7%";"23.7%"
"Household_size";"2";20053;16061;"44.2%";"45.8%"
"Household_size";"3";7692;6113;"17%";"17.4%"
"Household_size";"4";4800;3777;"10.6%";"10.8%"
"Household_size";"5.3";1139;810;"2.5%";"2.3%"
"Children_under_5_years";"keine Kinder dieser Altersstufe";41478;32202;"91.5%";"91.8%"
"Children_under_5_years";"Kinder dieser Altersstufe";3872;2860;"8.5%";"8.2%"
"Size_of_residence";"bis 4.999";11360;8222;"25%";"23.4%"
"Size_of_residence";"5.000 bis 49.999";16969;13068;"37.4%";"37.3%"
"Size_of_residence";"50.000 bis 99.999";2652;1974;"5.8%";"5.6%"
"Size_of_residence";"100.000 bis 499.999";7057;5646;"15.6%";"16.1%"
"Size_of_residence";"500.000 und mehr";7312;6152;"16.1%";"17.5%"
"Duration_of_main_trip";"bis 5 Tage";NA;1134;NA;"3.2%"
"Duration_of_main_trip";"6 bis 8 Tage";NA;8486;NA;"24.2%"
"Duration_of_main_trip";"9 bis 12 Tage";NA;7578;NA;"21.6%"
"Duration_of_main_trip";"13 bis 15 Tage";NA;13134;NA;"37.5%"
"Duration_of_main_trip";"16 bis 19 Tage";NA;1317;NA;"3.8%"
"Duration_of_main_trip";"20 bis 22 Tage";NA;2343;NA;"6.7%"
"Duration_of_main_trip";"23 bis 26 Tage";NA;219;NA;"0.6%"
"Duration_of_main_trip";"27 bis 29 Tage";NA;291;NA;"0.8%"
"Duration_of_main_trip";"30 Tage und mehr";NA;531;NA;"1.5%"
"Duration_of_main_trip";"keine Angabe";NA;0;NA;"0%"
