"Variable";"Value";"n_overall";"n_travelers";"freq_overall";"freq_travelers"
"Gender";"maennlich";18112;13476;"45.8%";"46.2%"
"Gender";"weiblich";21431;15678;"54.2%";"53.8%"
"Household_net_income_cat";"[0,1000)";2076;1041;"5.2%";"3.6%"
"Household_net_income_cat";"[1000,2000)";11310;7001;"28.6%";"24%"
"Household_net_income_cat";"[2000,3000)";12425;9397;"31.4%";"32.2%"
"Household_net_income_cat";"[3000,4000)";8408;7036;"21.3%";"24.1%"
"Household_net_income_cat";"[4000,5000)";2494;2151;"6.3%";"7.4%"
"Household_net_income_cat";"[5000,6000)";1574;1387;"4%";"4.8%"
"Household_net_income_cat";">= 6000";1256;1141;"3.2%";"3.9%"
"Education_level";"Hauptschule mit/ohne abgeschl. Berufsausbildung";19941;12783;"50.4%";"43.8%"
"Education_level";"Mittlere Reife/weiterführende Schule ohne Abitur";12055;9813;"30.5%";"33.7%"
"Education_level";"Abitur/(Fach-)Hochschulreife";4218;3600;"10.7%";"12.3%"
"Education_level";"Universitaet/techn. Hochschule/Polytechnikum";3329;2958;"8.4%";"10.1%"
"Household_size";"1";10593;7190;"26.8%";"24.7%"
"Household_size";"2";15040;11381;"38%";"39%"
"Household_size";"3";6421;4912;"16.2%";"16.8%"
"Household_size";"4";5513;4292;"13.9%";"14.7%"
"Household_size";"5.3";1976;1379;"5%";"4.7%"
"Children_under_5_years";"keine Kinder dieser Altersstufe";35413;26228;"89.6%";"90%"
"Children_under_5_years";"Kinder dieser Altersstufe";4130;2926;"10.4%";"10%"
"Size_of_residence";"bis 4.999";5286;3609;"13.4%";"12.4%"
"Size_of_residence";"5.000 bis 49.999";17520;12675;"44.3%";"43.5%"
"Size_of_residence";"50.000 bis 99.999";3965;2973;"10%";"10.2%"
"Size_of_residence";"100.000 bis 499.999";6617;5204;"16.7%";"17.9%"
"Size_of_residence";"500.000 und mehr";6155;4693;"15.6%";"16.1%"
"Duration_of_main_trip";"bis 5 Tage";NA;598;NA;"2.1%"
"Duration_of_main_trip";"6 bis 8 Tage";NA;4509;NA;"15.5%"
"Duration_of_main_trip";"9 bis 12 Tage";NA;4307;NA;"14.8%"
"Duration_of_main_trip";"13 bis 15 Tage";NA;11024;NA;"37.9%"
"Duration_of_main_trip";"16 bis 19 Tage";NA;1552;NA;"5.3%"
"Duration_of_main_trip";"20 bis 22 Tage";NA;4546;NA;"15.6%"
"Duration_of_main_trip";"23 bis 26 Tage";NA;537;NA;"1.8%"
"Duration_of_main_trip";"27 bis 29 Tage";NA;863;NA;"3%"
"Duration_of_main_trip";"30 Tage und mehr";NA;1181;NA;"4.1%"
"Duration_of_main_trip";"keine Angabe";NA;0;NA;"0%"
