"Variable";"Value";"n_overall";"n_travelers";"freq_overall";"freq_travelers"
"Gender";"maennlich";18118;13583;"45.8%";"46.7%"
"Gender";"weiblich";21452;15525;"54.2%";"53.3%"
"Household_net_income_cat";"[0,1000)";2073;1082;"5.2%";"3.7%"
"Household_net_income_cat";"[1000,2000)";11413;7046;"28.8%";"24.2%"
"Household_net_income_cat";"[2000,3000)";12452;9415;"31.5%";"32.3%"
"Household_net_income_cat";"[3000,4000)";8302;6888;"21%";"23.7%"
"Household_net_income_cat";"[4000,5000)";2562;2214;"6.5%";"7.6%"
"Household_net_income_cat";"[5000,6000)";1566;1372;"4%";"4.7%"
"Household_net_income_cat";">= 6000";1202;1091;"3%";"3.7%"
"Education_level";"Hauptschule mit/ohne abgeschl. Berufsausbildung";19957;12786;"50.4%";"43.9%"
"Education_level";"Mittlere Reife/weiterführende Schule ohne Abitur";11894;9666;"30.1%";"33.2%"
"Education_level";"Abitur/(Fach-)Hochschulreife";4353;3722;"11%";"12.8%"
"Education_level";"Universitaet/techn. Hochschule/Polytechnikum";3366;2934;"8.5%";"10.1%"
"Household_size";"1";10587;7278;"26.8%";"25%"
"Household_size";"2";14993;11334;"37.9%";"38.9%"
"Household_size";"3";6593;4988;"16.7%";"17.1%"
"Household_size";"4";5516;4193;"13.9%";"14.4%"
"Household_size";"5.3";1881;1315;"4.8%";"4.5%"
"Children_under_5_years";"keine Kinder dieser Altersstufe";35284;26115;"89.2%";"89.7%"
"Children_under_5_years";"Kinder dieser Altersstufe";4286;2993;"10.8%";"10.3%"
"Size_of_residence";"bis 4.999";5242;3538;"13.2%";"12.2%"
"Size_of_residence";"5.000 bis 49.999";17580;12742;"44.4%";"43.8%"
"Size_of_residence";"50.000 bis 99.999";3995;2962;"10.1%";"10.2%"
"Size_of_residence";"100.000 bis 499.999";6519;5069;"16.5%";"17.4%"
"Size_of_residence";"500.000 und mehr";6234;4797;"15.8%";"16.5%"
"Duration_of_main_trip";"bis 5 Tage";NA;620;NA;"2.1%"
"Duration_of_main_trip";"6 bis 8 Tage";NA;4722;NA;"16.2%"
"Duration_of_main_trip";"9 bis 12 Tage";NA;4283;NA;"14.7%"
"Duration_of_main_trip";"13 bis 15 Tage";NA;10903;NA;"37.5%"
"Duration_of_main_trip";"16 bis 19 Tage";NA;1492;NA;"5.1%"
"Duration_of_main_trip";"20 bis 22 Tage";NA;4486;NA;"15.4%"
"Duration_of_main_trip";"23 bis 26 Tage";NA;511;NA;"1.8%"
"Duration_of_main_trip";"27 bis 29 Tage";NA;894;NA;"3.1%"
"Duration_of_main_trip";"30 Tage und mehr";NA;1170;NA;"4%"
"Duration_of_main_trip";"keine Angabe";NA;0;NA;"0%"
